predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
meanweekday,FERRITIN,predictorvalue,5,2561,8.01,1.60,0.1555866239,1.5601670E-01,0,0.5518518808
meandonorage,CL,predspline,2,21059,3.70,1.85,0.1571322636,1.5715782E-01,0,0.5518518808
numdoncat,CL,predictorvalue,4,21069,6.56,1.64,0.1612113424,1.6125514E-01,0,0.5619497435
foreigndonor,ALB,predictorvalue,1,23093,1.93,1.93,0.1643144083,1.6432781E-01,0,0.5681073065
meandonationtime,STDBIK,predspline,2,20254,3.59,1.79,0.166174585,1.6620101E-01,0,0.5681073065
meandonationtime,NEUTRO,predspline,2,10876,3.58,1.79,0.1666779512,1.6672714E-01,0,0.5681073065
meandonationtime,LYMF,predspline,2,1917,3.56,1.78,0.1683004199,1.6857910E-01,0,0.5701940066
numdoncat,KREA,predictorvalue,4,50352,6.33,1.58,0.1756150783,1.7563326E-01,0,0.5843384156
meandonorage,ASAT,predspline,2,15276,3.48,1.74,0.1757093312,1.7574411E-01,0,0.5843384156
meandonorage,LAKTAT,predspline,2,18869,3.47,1.73,0.1765436887,1.7657183E-01,0,0.5843384156
meandonorhb,META,predspline,2,372,3.44,1.72,0.1791629857,1.8058381E-01,0,0.5893749693
numdoncat,CA_F,predictorvalue,4,20363,6.22,1.56,0.1830968872,1.8314159E-01,0,0.5893749693
meandonorhb,MYELO,predspline,2,351,3.41,1.70,0.1821713849,1.8367276E-01,0,0.5893749693
donorparity,ALP,predictorvalue,2,6672,3.39,1.69,0.183829037,1.8390807E-01,0,0.5893749693
meandonationtime,RET,predspline,2,496,3.38,1.69,0.1848078159,1.8586826E-01,0,0.5893749693
donorparity,INR,predictorvalue,2,27909,3.36,1.68,0.1863780643,1.8639691E-01,0,0.5893749693
meandonationtime,EGFR,predspline,2,7812,3.35,1.68,0.1869952052,1.8706249E-01,0,0.5893749693
meandonorage,COHB,predspline,2,14188,3.33,1.66,0.1895127789,1.8954973E-01,0,0.5931488161
meandonationtime,OSMO,predspline,2,6481,3.31,1.66,0.1910126749,1.9109343E-01,0,0.5939390438
meandonorhb,NTPROBNP,predspline,2,814,3.24,1.62,0.1983075292,1.9894460E-01,0,0.6076799515
meanstoragetime,PH,predspline,2,20386,3.22,1.61,0.2000083162,2.0003373E-01,0,0.6076799515
idbloodgroupcat,INR,predictorvalue,1,27889,1.62,1.62,0.2026836582,2.0269427E-01,0,0.6076799515
meandonationtime,BASOF,predspline,2,1930,3.18,1.59,0.2037035151,2.0397059E-01,0,0.6076799515
donorparity,TPK,predictorvalue,2,54106,3.18,1.59,0.2040900778,2.0409960E-01,0,0.6076799515
foreigndonor,ERYTRO,predictorvalue,1,36613,1.61,1.61,0.2041585728,2.0416664E-01,0,0.6076799515
timesincecat,EOSINO,predictorvalue,3,1915,4.58,1.53,0.2050795225,2.0544946E-01,0,0.6076799515
meandonorage,RET,predspline,2,497,3.16,1.58,0.2063695458,2.0740183E-01,0,0.6076799515
donorparity,FERRITIN,predictorvalue,2,2563,3.15,1.57,0.2072035736,2.0740381E-01,0,0.6076799515
meanstoragetime,BILI_K,predspline,2,4814,3.11,1.55,0.2116412676,2.1174726E-01,0,0.6146908281
numdoncat,LD,predictorvalue,4,6690,5.83,1.46,0.2123374424,2.1246922E-01,0,0.6146908281
meandonationtime,HAPTO,predspline,2,369,3.05,1.53,0.2174507434,2.1881941E-01,0,0.6271926804
meandonorsex,EGFR,predictorvalue,1,7813,1.50,1.50,0.221137666,2.2117456E-01,0,0.6271926804
meanweekday,ASAT,predictorvalue,5,15276,6.98,1.40,0.221886807,2.2195483E-01,0,0.6271926804
meandonationtime,MYELO,predspline,2,354,3.02,1.51,0.2208248132,2.2224436E-01,0,0.6271926804
foreigndonor,METHB,predictorvalue,1,15597,1.47,1.47,0.2252507649,2.2526913E-01,0,0.6293985877
meanstoragetime,PO2,predspline,2,16536,2.95,1.47,0.2288861623,2.2891626E-01,0,0.6293985877
meandonorsex,ASAT,predictorvalue,1,15277,1.45,1.45,0.2288987396,2.2891738E-01,0,0.6293985877
meanweekday,LPK,predictorvalue,5,56342,6.88,1.38,0.2296424259,2.2966066E-01,0,0.6293985877
numdoncat,NEUTRO,predictorvalue,4,10906,5.62,1.40,0.2297884791,2.2986731E-01,0,0.6293985877
donorparity,MONO,predictorvalue,2,1927,2.93,1.46,0.2313555935,2.3161273E-01,0,0.6304251812
meandonationtime,MCV,predspline,2,36698,2.88,1.44,0.2363652236,2.3637862E-01,0,0.6396127447
idbloodgroupcat,ALAT,predictorvalue,1,16857,1.39,1.39,0.2388839776,2.3890060E-01,0,0.6426565979
meanstoragetime,ALP,predspline,2,6663,2.83,1.42,0.2428888797,2.4296187E-01,0,0.6497817547
meandonorhb,INR,predspline,2,27706,2.80,1.40,0.2463832982,2.4640075E-01,0,0.6551696217
timesincecat,LYMF,predictorvalue,3,1919,4.11,1.37,0.2496201084,2.4996499E-01,0,0.6608269955
meandonorhb,FIB,predspline,2,13552,2.76,1.38,0.2515704342,2.5160579E-01,0,0.6610460046
meanweekday,GLUKOS,predictorvalue,5,44587,6.58,1.32,0.2541780733,2.5420014E-01,0,0.6610460046
timesincecat,KREA,predictorvalue,3,50353,4.07,1.36,0.2543459652,2.5435901E-01,0,0.6610460046
meandonorage,CO2,predspline,2,1071,2.68,1.34,0.2614189138,2.6185790E-01,0,0.6626016456
foreigndonor,STDBIK,predictorvalue,1,20301,1.26,1.26,0.2623971051,2.6241036E-01,0,0.6626016456
meanstoragetime,BE,predspline,2,20149,2.67,1.34,0.2630324164,2.6305570E-01,0,0.6626016456
meandonationtime,EOSINO,predspline,2,1913,2.65,1.32,0.2659069395,2.6615071E-01,0,0.6626016456
meanweekday,ALP,predictorvalue,5,6668,6.43,1.29,0.2666305056,2.6677442E-01,0,0.6626016456
meandonationtime,GT,predspline,2,7705,2.63,1.32,0.2683129175,2.6837318E-01,0,0.6626016456
meandonorage,MONO,predspline,2,1927,2.63,1.32,0.2681443518,2.6838531E-01,0,0.6626016456
meandonationtime,META,predspline,2,375,2.64,1.32,0.2678003453,2.6903704E-01,0,0.6626016456
foreigndonor,FE,predictorvalue,1,1406,1.21,1.21,0.2705047742,2.7069336E-01,0,0.6626016456
foreigndonor,TRANSF,predictorvalue,1,52,1.24,1.24,0.2658494269,2.7096686E-01,0,0.6626016456
timesincecat,GLUKOS,predictorvalue,3,44605,3.91,1.30,0.2711872088,2.7120146E-01,0,0.6626016456
meandonorage,ALP,predspline,2,6672,2.60,1.30,0.2722389687,2.7230803E-01,0,0.6626016456
numdoncat,NA,predictorvalue,4,46348,5.14,1.28,0.2736661812,2.7368329E-01,0,0.6626016456
meandonationtime,TROP_I,predspline,2,576,2.54,1.27,0.2815318332,2.8231588E-01,0,0.6736102635
numdoncat,BILI,predictorvalue,4,22361,5.05,1.26,0.2823307184,2.8236552E-01,0,0.6736102635
numdoncat,INR,predictorvalue,4,27928,5.05,1.26,0.2825955915,2.8262344E-01,0,0.6736102635
meanweekday,MONO,predictorvalue,5,1924,6.24,1.25,0.2840020492,2.8448178E-01,0,0.6745444186
idbloodgroupcat,ALB,predictorvalue,1,23054,1.13,1.13,0.2878674301,2.8787856E-01,0,0.6757967705
meandonationtime,PH,predspline,2,20367,2.49,1.25,0.2879262758,2.8794819E-01,0,0.6757967705
timesincecat,ALP,predictorvalue,3,6673,3.74,1.25,0.2906179026,2.9070925E-01,0,0.6778666647
meandonorage,PH,predspline,2,20403,2.46,1.23,0.2917556927,2.9177739E-01,0,0.6778666647
meandonorage,BASOF,predspline,2,1933,2.42,1.21,0.297555587,2.9778166E-01,0,0.6883395219
foreigndonor,ALAT,predictorvalue,1,16885,1.07,1.07,0.2998258383,2.9984069E-01,0,0.6896335775
meanstoragetime,ASAT,predspline,2,15252,2.38,1.19,0.3041749978,3.0420325E-01,0,0.6915466237
meandonationtime,CRP,predspline,2,47498,2.38,1.19,0.3043580722,3.0436714E-01,0,0.6915466237
meandonorage,HBA1C,predspline,2,180,2.39,1.19,0.3027931761,3.0518253E-01,0,0.6915466237
foreigndonor,KREA,predictorvalue,1,50355,1.04,1.04,0.3084499659,3.0845486E-01,0,0.6955354666
meandonorhb,PO2,predspline,2,16384,2.34,1.17,0.3104615652,3.1048749E-01,0,0.6964846695
meanweekday,APTT,predictorvalue,5,22109,5.93,1.19,0.3128477469,3.1288667E-01,0,0.6964846695
meandonorage,BE,predspline,2,20166,2.31,1.15,0.315252767,3.1527360E-01,0,0.6964846695
meandonorsex,PH,predictorvalue,1,20405,1.00,1.00,0.3164518691,3.1646375E-01,0,0.6964846695
meandonationtime,APTT,predspline,2,22027,2.30,1.15,0.3173958738,3.1741485E-01,0,0.6964846695
meandonorhb,LYMF,predspline,2,1899,2.29,1.15,0.3177475524,3.1796739E-01,0,0.6964846695
meandonorage,STDBIK,predspline,2,20290,2.28,1.14,0.3194539881,3.1947449E-01,0,0.6964846695
meandonorsex,OSMO,predictorvalue,1,6497,0.97,0.97,0.3243733197,3.2441002E-01,0,0.6997988681
numdoncat,CO2,predictorvalue,4,1070,4.66,1.17,0.3237824433,3.2443807E-01,0,0.6997988681
donorparity,APTT,predictorvalue,2,22102,2.24,1.12,0.3270812958,3.2709978E-01,0,0.6997988681
meandonationtime,METHB,predspline,2,15554,2.23,1.11,0.3284810126,3.2850719E-01,0,0.6997988681
foreigndonor,RET,predictorvalue,1,498,0.96,0.96,0.3281264134,3.2860121E-01,0,0.6997988681
meanstoragetime,META,predspline,2,375,2.21,1.10,0.3319468361,3.3302087E-01,0,0.7059428599
meandonorage,CRP,predspline,2,47656,2.19,1.09,0.3346710122,3.3467943E-01,0,0.706204294
