Label,Predictor,Number of observations,Crude p-value,FDR adjusted p-value
K,meanweekday,46816,5.6673311E-01,8.4529685E-01
KREA,meandonorage,50338,5.7155597E-01,8.4634249E-01
BE,donorparity,20174,5.6940418E-01,8.4634249E-01
HBA1C,meanstoragetime,186,5.7033494E-01,8.4634249E-01
MONO,idbloodgroupcat,1932,5.7705585E-01,8.5243742E-01
META,numdoncat,383,5.7847958E-01,8.5249623E-01
ALAT,numdoncat,16891,6.0157330E-01,8.6132505E-01
HAPTO,meanweekday,377,6.1942695E-01,8.6132505E-01
APTT,meandonorage,22109,6.0097220E-01,8.6132505E-01
ALB,meanweekday,23091,6.1245709E-01,8.6132505E-01
PCO2,foreigndonor,16469,6.0834535E-01,8.6132505E-01
KREA,meandonationtime,50172,5.9954081E-01,8.6132505E-01
NA,meandonorsex,46335,5.9791825E-01,8.6132505E-01
META,foreigndonor,383,6.0973378E-01,8.6132505E-01
K,foreigndonor,46831,6.1236151E-01,8.6132505E-01
BASOF,meandonorsex,1940,6.1509588E-01,8.6132505E-01
ALP,meandonorsex,6679,6.1812652E-01,8.6132505E-01
MONO,meandonorhb,1913,5.9423594E-01,8.6132505E-01
