predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
meandonationtime,LYMF,predspline,2,1917,3.56,1.78,0.1683004199,1.6857910E-01,0,0.5643735007
numdoncat,KREA,predictorv,4,50352,6.33,1.58,0.1756150783,1.7563326E-01,0,0.5816483666
meandonorage,ASAT,predspline,2,15276,3.48,1.74,0.1757093312,1.7574411E-01,0,0.5816483666
meandonorage,LAKTAT,predspline,2,18869,3.47,1.73,0.1765436887,1.7657183E-01,0,0.5816483666
foreigndonor,CRP,predictorvalue,1,47683,1.81,1.81,0.1782302127,1.7823661E-01,0,0.5839555177
meandonorhb,META,predspline,2,372,3.44,1.72,0.1791629857,1.8058381E-01,0,0.5839555177
meanweekday,BASOF,predictorv,5,1930,7.58,1.52,0.1807480745,1.8131142E-01,0,0.5839555177
numdoncat,CA_F,predictorvalue,4,20363,6.22,1.56,0.1830968872,1.8314159E-01,0,0.5839555177
foreigndonor,ASAT,predictorv,1,15284,1.77,1.77,0.1834901693,1.8351002E-01,0,0.5839555177
meandonorhb,MYELO,predspline,2,351,3.41,1.70,0.1821713849,1.8367276E-01,0,0.5839555177
donorparity,ALP,predictorvalue,2,6672,3.39,1.69,0.183829037,1.8390807E-01,0,0.5839555177
meandonationtime,RET,predspline,2,496,3.38,1.69,0.1848078159,1.8586826E-01,0,0.5849263654
donorparity,INR,predictorvalue,2,27909,3.36,1.68,0.1863780643,1.8639691E-01,0,0.5849263654
meandonationtime,EGFR,predspline,2,7812,3.35,1.68,0.1869952052,1.8706249E-01,0,0.5849263654
meandonorage,COHB,predspline,2,14188,3.33,1.66,0.1895127789,1.8954973E-01,0,0.5897102723
meandonationtime,OSMO,predspline,2,6481,3.31,1.66,0.1910126749,1.9109343E-01,0,0.591525396
meandonorhb,NTPROBNP,predspline,2,814,3.24,1.62,0.1983075292,1.9894460E-01,0,0.6026450315
meanstoragetime,PH,predspline,2,20386,3.22,1.61,0.2000083162,2.0003373E-01,0,0.6026450315
idbloodgroupcat,INR,predictorvalue,1,27889,1.62,1.62,0.2026836582,2.0269427E-01,0,0.6026450315
meanweekday,RET,predictorvalue,5,494,7.27,1.45,0.2014399871,2.0358937E-01,0,0.6026450315
meandonationtime,BASOF,predspline,2,1930,3.18,1.59,0.2037035151,2.0397059E-01,0,0.6026450315
donorparity,TPK,predictorvalue,2,54106,3.18,1.59,0.2040900778,2.0409960E-01,0,0.6026450315
foreigndonor,ERYTRO,predictorv,1,36613,1.61,1.61,0.2041585728,2.0416664E-01,0,0.6026450315
timesincecat,BILI,predictorv,3,22362,4.58,1.53,0.2051382958,2.0517000E-01,0,0.6026450315
timesincecat,EOSINO,predictorv,3,1915,4.58,1.53,0.2050795225,2.0544946E-01,0,0.6026450315
meanweekday,ERYTRO,predictorv,5,36602,7.20,1.44,0.2061935128,2.0622251E-01,0,0.6026450315
meandonorsex,KREA,predictorv,1,50332,1.60,1.60,0.2065163431,2.0652219E-01,0,0.6026450315
meandonorage,RET,predspline,2,497,3.16,1.58,0.2063695458,2.0740183E-01,0,0.6026450315
donorparity,FERRITIN,predictorv,2,2563,3.15,1.57,0.2072035736,2.0740381E-01,0,0.6026450315
donorparity,LYMF,predictorvalue,2,1920,3.14,1.57,0.2082162168,2.0848313E-01,0,0.6029371148
meanstoragetime,BILI_K,predspline,2,4814,3.11,1.55,0.2116412676,2.1174726E-01,0,0.6087490243
numdoncat,LD,predictorv,4,6690,5.83,1.46,0.2123374425,2.1246922E-01,0,0.6087490243
meandonationtime,HAPTO,predspline,2,369,3.05,1.53,0.2174507434,2.1881941E-01,0,0.6240405342
meandonorsex,EGFR,predictorv,1,7813,1.50,1.50,0.221137666,2.2117456E-01,0,0.6251256964
